<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240229;095947;160.65;10;9725505052;B
20240229;095947;160.65;10;9725505053;B
20240229;095947;160.65;20;9725505054;B
20240229;095947;160.65;10;9725505055;B
20240229;095947;160.65;40;9725505056;B
20240229;095947;160.65;10;9725505057;B
20240229;095947;160.65;500;9725505058;B
20240229;095947;160.65;60;9725505059;B
20240229;095947;160.65;30;9725505060;B
20240229;095947;160.65;100;9725505061;B
20240229;095947;160.65;20;9725505062;B
20240229;095947;160.65;10;9725505063;B
20240229;095947;160.65;10;9725505064;B
20240229;095947;160.65;110;9725505065;B
20240229;095947;160.65;20;9725505066;B
20240229;095947;160.65;10;9725505067;B
20240229;095947;160.65;20;9725505068;B
20240229;095947;160.65;150;9725505069;B
20240229;095947;160.65;10;9725505070;B
20240229;095947;160.65;10;9725505071;B
20240229;095947;160.65;30;9725505072;B
20240229;095947;160.65;100;9725505073;B
20240229;095947;160.65;20;9725505074;B
20240229;095947;160.65;10;9725505075;B
20240229;095947;160.65;10;9725505076;B
20240229;095947;160.65;10;9725505077;B
20240229;095947;160.65;10;9725505078;B
20240229;095947;160.65;50;9725505079;B
20240229;095947;160.65;10;9725505080;B
20240229;095947;160.65;100;9725505081;B
20240229;095947;160.65;100;9725505082;B
20240229;095947;160.65;20;9725505083;B
20240229;095947;160.65;10;9725505084;B
20240229;095947;160.65;10;9725505085;B
20240229;095947;160.65;10;9725505086;B
20240229;095947;160.65;10;9725505087;B
20240229;095947;160.65;10;9725505088;B
20240229;095947;160.65;20;9725505089;B
20240229;095947;160.65;150;9725505090;B
20240229;095947;160.65;70;9725505091;B
20240229;095947;160.65;10;9725505092;B
20240229;095947;160.65;20;9725505093;B
20240229;095947;160.65;60;9725505094;B
20240229;095947;160.65;10;9725505095;B
20240229;095947;160.65;20;9725505096;B
20240229;095947;160.65;10;9725505097;S
20240229;095947;160.65;60;9725505098;S
20240229;095947;160.65;410;9725505099;S
20240229;095947;160.65;30;9725505100;S
20240229;095947;160.65;380;9725505101;S
20240229;095947;160.65;40;9725505102;S
20240229;095947;160.65;10;9725505103;S
20240229;095947;160.65;120;9725505104;S
20240229;095947;160.65;20;9725505105;S
20240229;095947;160.65;10;9725505106;S
20240229;095947;160.65;20;9725505107;S
20240229;095947;160.65;10;9725505108;S
20240229;095947;160.65;10;9725505109;S
20240229;095947;160.65;10;9725505110;S
20240229;095947;160.65;40;9725505111;S
20240229;095947;160.65;10;9725505112;S
20240229;095947;160.65;10;9725505113;S
20240229;095947;160.65;720;9725505114;S
20240229;095947;160.65;10;9725505115;S
20240229;095947;160.65;10;9725505116;S
20240229;095947;160.65;10;9725505117;S
20240229;095947;160.65;10;9725505118;S
20240229;095947;160.65;10;9725505119;S
20240229;095947;160.65;40;9725505120;S
20240229;095947;160.65;20;9725505121;S
20240229;095947;160.65;100;9725505122;S
20240229;095947;160.65;100;9725505123;S
20240229;095947;160.65;100;9725505124;S
20240229;095947;160.65;20;9725505125;B
20240229;095947;160.65;150;9725505126;B
20240229;095947;160.65;250;9725505127;S
20240229;095947;160.65;50;9725505128;B
20240229;095947;160.65;10;9725505129;B
20240229;095947;160.65;100;9725505130;B
20240229;095947;160.65;350;9725505131;S
20240229;095947;160.65;580;9725505132;B
20240229;095947;160.65;30;9725505133;S
20240229;095947;160.65;50;9725505134;B
20240229;095947;160.65;100;9725505135;B
20240229;095947;160.65;30;9725505136;B
20240229;095947;160.65;10;9725505137;S
20240229;095947;160.65;40;9725505138;S
20240229;095947;160.65;10;9725505139;S
20240229;095947;160.65;10;9725505140;S
20240229;095947;160.65;10;9725505141;S
20240229;095947;160.65;10;9725505142;S
20240229;095947;160.65;10;9725505143;S
20240229;095947;160.65;10;9725505144;S
20240229;095947;160.65;30;9725505145;S
20240229;095947;160.65;10;9725505146;S
20240229;095947;160.65;30;9725505147;S
20240229;095947;160.65;20;9725505148;S
20240229;095947;160.65;10;9725505149;S
20240229;095947;160.65;50;9725505150;S
20240229;095947;160.65;10;9725505151;B
20240229;095947;160.65;10;9725505152;S
20240229;095947;160.65;10;9725505153;S
20240229;095947;160.65;80;9725505154;S
20240229;095947;160.65;20;9725505155;S
20240229;095947;160.65;10;9725505156;S
20240229;095947;160.65;100;9725505157;S
20240229;095947;160.65;400;9725505158;S
20240229;095947;160.65;10;9725505159;S
20240229;095947;160.65;30;9725505160;S
20240229;100000;160.68;10;9725507721;B
20240229;100000;160.68;10;9725507722;B
20240229;100000;160.68;80;9725507723;B
20240229;100000;160.68;100;9725507724;B
20240229;100000;160.68;140;9725507751;B
20240229;100000;160.68;10;9725507752;B
20240229;100000;160.68;60;9725507753;B
20240229;100000;160.68;30;9725507754;B
20240229;100000;160.68;10;9725507755;B
20240229;100000;160.68;50;9725507756;B
20240229;100000;160.68;300;9725507757;B
20240229;100000;160.68;300;9725507794;B
20240229;100000;160.68;300;9725507795;B
20240229;100000;160.68;50;9725507822;B
20240229;100000;160.7;10;9725508023;B
20240229;100000;160.79;10;9725508024;B
20240229;100000;160.78;10;9725508185;S
20240229;100001;160.79;10;9725508613;B
20240229;100001;160.78;2160;9725508653;S
20240229;100001;160.77;230;9725508654;S
20240229;100001;160.71;2170;9725508924;S
20240229;100001;160.71;360;9725508925;S
20240229;100001;160.7;2170;9725509001;S
20240229;100001;160.73;10;9725509054;B
20240229;100001;160.7;290;9725509062;S
20240229;100001;160.7;1880;9725509185;S
20240229;100001;160.7;1880;9725509188;S
20240229;100001;160.68;10;9725509211;S
20240229;100002;160.72;200;9725509617;B
20240229;100002;160.71;10;9725509623;B
20240229;100002;160.71;10;9725509634;B
20240229;100002;160.71;50;9725509778;B
20240229;100003;160.7;20;9725509979;S
20240229;100003;160.69;2170;9725509981;S
20240229;100003;160.69;300;9725509982;S
20240229;100005;160.69;20;9725510616;S
20240229;100005;160.69;10;9725510675;S
20240229;100005;160.72;10;9725510677;B
20240229;100005;160.72;10;9725510678;B
20240229;100005;160.72;10;9725510778;B
20240229;100005;160.69;10;9725510805;S
20240229;100005;160.72;10;9725510807;B
20240229;100005;160.72;10;9725511125;B
20240229;100005;160.69;10;9725511128;S
20240229;100005;160.72;40;9725511131;B
